,stop_code,stop_name,stop_desc,stop_lat,stop_lon
211,634,Плугова (634),"вул. Гетьмана Мазепи, 27",49.872571,24.043770000000002
212,528,Кропивницького (528),пл. Кропивницького 8,49.836253,24.004338
213,491,пл Липнева (491),вул. Героїв УПА 30,49.833433,24.001356
214,531,Антоновича (531),"вул. Кульпарківська, 66",49.826534,23.989846
215,137,Кульпарків (137),"вул. Кульпарківська, 118",49.819294,23.98787
216,136,Скнилівок (136),"вул. Кульпарківська, 105",49.813453,23.98467
217,138,Щирецька (138),вул. Кульпарківська 212,49.809472,23.982446
218,551,Наукова (551),"вул. Наукова (вул. Кульпарківська, 141)",49.805353000000004,23.982543
219,544,Симоненка (544),"вул. Наукова, 53",49.804787,23.987687
220,540,Клуб Науковий (540),вул. Наукова 29,49.804283,23.993185999999998
221,548,Центр зайнятості (548),"вул. Наукова, 35А",49.803952,23.996512
222,550,Княгині Ольги (550),вул. Наукова 7А,49.803483,24.000975
223,538,Тролейбусна (538),вул. Наукова 5,49.802881,24.006774
224,537,Підстригача (537),"вул. Наукова, 3",49.802259,24.01352
225,445,Стрийська-Наукова (445),"вул. Хуторівка (вул. Стрийська, 47)",49.801728999999995,24.018735999999997
226,441,Демнянська (441),"вул. Хуторівка, 8",49.800311,24.030495000000002
227,440,Духовна семінарія (440),вул. Хуторівка 4,49.799861,24.035467999999998
228,444,Чукаріна (444),"вул. Хуторівка (вул. В. Чукаріна, 28)",49.800478000000005,24.040704
229,449,Шувар (449),"пр. Червоної Калини, 36",49.799103,24.047908
230,451,Дитяча поліклініка (451),"просп. Червоної Калини, 46",49.797157,24.051582999999997
231,453,Сихівська РА (453),"пр. Червоної Калини, 62",49.79197,24.058272
232,733,Поліклініка №4 (733),"пр. Червоної Калини, 90",49.790032000000004,24.05865
233,454,Коломийська (454),"пр. Червоної Калини, 76",49.788657,24.058692999999998
234,457,Санта Барбара (457),"пр. Червоної Калини, 94",49.785426,24.058811
235,418,Скрипника (418),вул. М. Скрипника 39,49.786002,24.051712
236,317,Скрипника (317),"вул. М. Скрипника,2",49.786295,24.051781
237,459,Санта Барбара (459),"пр. Червоної Калини, 109",49.785576,24.059313
238,458,Коломийська (458),"пр. Червоної Калини, 97",49.787467,24.0592
239,456,Поліклініка №4 (456),"пр. Червоної Калини, 91",49.790669,24.059168
240,455,Центр Довженка (455),"пр. Червоної Калини, 81",49.794657,24.057532000000002
241,452,Дитяча поліклініка (452),"пр. Червоної Калини, 59",49.796501,24.053698
242,450,Шувар (450),"просп. Червоної Калини, 49",49.799077000000004,24.048686
243,800,Колодзінського (800),"пр. Червоної Калини (вул. Рядова, 6)",49.803606,24.046449
244,448,Рахівська (448),"пр. Червоної Калини, 22",49.805654,24.045655
245,446,Чукаріна (446),"вул. Хуторівка (навпроти вул. В. Чукаріна, 30)",49.800723,24.040087
246,442,Духовна семінарія (442),"вул. Хуторівка, 35",49.800164,24.035712
247,443,Демнянська (443),"вул. Хуторівка, 49",49.800616,24.030399
248,553,Стрийська-Наукова (553),вул. Наукова (перехрестя з вул. Стрийська),49.802078,24.017267
249,552,Підстригача (552),"вул. Наукова, 148-А",49.802385,24.014091
250,539,Тролейбусна (539),"вул. Наукова, 12",49.803457,24.004856
251,541,Княгині Ольги (541),вул. Наукова 30,49.803937,23.999572
252,545,Центр зайнятості (545),"вул. Наукова, 62",49.804362,23.995203
253,549,Клуб Науковий (549),"вул. Наукова, 64А",49.804719,23.991845
254,546,Симоненка (546),"вул. Наукова, 112",49.805456,23.985579
255,533,Щирецька (533),вул. Кульпарківська 123,49.809356,23.982561999999998
256,534,Скнилівок (534),"вул. Кульпарківська, 2а",49.8139,23.985112
257,532,Кульпарків (532),"вул. Кульпарківська, 95",49.818638,23.987741
258,474,Бандери (474),"вул. В. Антоновича, 7",49.834519,24.006929
259,635,Плугова (635),"вул. Гетьмана Мазепи, 32",49.872371,24.043332
260,577,Грінченка (577),"вул. Б. Грінченка, 13-А",49.871990999999994,24.052012
261,576,Чигиринська (576),"вул. Б. Грінченка, 1",49.870596,24.055314000000003
262,411,Коломийська - Трильовського (411),вул. Коломийська (навпроти № 9),49.787758000000004,24.066636
263,399,Кос-Анатольського (399),вул. І. Кавалерідзе 15,49.791274,24.067439999999998
264,398,Антоненка-Давидовича (398),вул. І. Кавалерідзе 9,49.792711,24.065568
265,423,Кавалерідзе (423),"вул. Сихівська, 5",49.794692,24.065182
266,394,Сихівська (394),вул. Зелена (навпроти буд. 309),49.797178,24.071935
267,378,Зубрівська (378),"вул. Зелена, 261",49.802268,24.065316
268,377,ДБК (377),"вул. Зелена, 251",49.805938,24.062306
269,371,Фрезерний завод (371),"вул. Зелена, 149",49.811403999999996,24.061067
270,370,Бузкова (370),"вул. Зелена, 147",49.813637,24.060295
271,365,Вашингтона (365),"вул. Дж. Вашингтона (вул. Зелена, 147)",49.815921,24.063009
272,363,Перинатальний центр (363),"вул. Дж. Вашингтона, 6",49.815714,24.070434
273,364,ТЦ Метро-2 (364),"вул. Дж. Вашингтона, 8",49.814446999999994,24.07532
274,282,Лисинецька (282),"вул. Пасічна, 85",49.817039,24.077262
275,284,Ярошинської (284),"вул. Пасічна (вул. Є. Ярошинської, 2)",49.822568,24.075173
276,280,Майорівка (280),"вул. Пасічна, 59",49.826232,24.072917
277,734,Ліцей Героїв Крут (734),"вул. Пасічна, 51",49.827822999999995,24.071319
278,278,Таджицька (278),"вул. Пасічна, 39",49.830789,24.068507999999998
279,255,Пасічна (255),"вул. Личаківська, 175",49.836187,24.06714
280,252,Котика (252),"вул. Личаківська, 149",49.837263,24.060879
281,250,Мечникова (250),"вул. Личаківська, 113",49.83846,24.055574
282,245,Медичний університет (245),"вул. Личаківська, 67",49.840041,24.049249
283,242,Військовий госпіталь (242),вул. Личаківська 35,49.840259,24.04315
284,42,пл. Митна (42),вул. Личаківська 7,49.839833,24.038005
285,625,На Нивах (625),"вул. Варшавська, 155",49.865505999999996,24.010899
286,775,Тунельна (775),"вул. Тунельна (вул. Зимова, 42)",49.862629,24.00366
287,777,Петрицького (777),"вул. Винниця, 2",49.861794,23.999754
288,761,Винниця (761),"вул. Винниця, 60",49.861863,23.99193
289,629,Татарбунарська (629),"вул. Винниця (вул. Т. Шевченка, 154)",49.854037,23.986404999999998
290,696,Татарбунарська (696),"вул. Т.  Шевченка, 154-Б",49.854006,23.985048000000003
291,687,Брюховицька (687),"вул. Т. Шевченка, 222а",49.859926,23.970913
292,689,Шевченка (689),"вул. Т. Шевченка, 264",49.861706,23.966519
293,691,Біберовича (691),вул. Т. Шевченка 292,49.862938,23.963537
294,692,Порічкова (692),вул. Т. Шевченка 318,49.864446,23.960017999999998
295,701,Лушпинського (701),вул. Т. Шевченка (перехрестя з вул. О. Лушпинського),49.866392,23.956699
296,694,Рясне-1 (694),вул. Т. Шевченка 358,49.868094,23.952604
297,695,Стельмаха (695),"вул. Т. Шевченка, 384",49.870354999999996,23.946177
298,698,Сотника Панаса (698),вул. Т. Шевченка (навпроти № 321),49.872592,23.933177
299,657,Величковського (657),вул. І. Величковського (навпроти № 40),49.875209000000005,23.932541
300,655,Рясне-2 (655),"Рясне-2, вул. І. Величковського 2",49.875406,23.93804
301,656,Величковського (656),вул. І. Величковського 42,49.875299,23.93245
302,693,Сотника Панаса (693),вул. Т. Шевченка 321,49.872482,23.933802
303,700,Стельмаха (700),вул. Т. Шевченка (навпроти № 384),49.870438,23.945507
304,699,Рясне-1 (699),вул. Т. Шевченка (навпроти № 358А),49.86835,23.950866
305,702,Лушпинського (702),вул. Т. Шевченка (перехрестя з вул. Професора Ковалика),49.866431,23.95637
306,690,Порічкова (690),вул. Т. Шевченка 277,49.864277,23.960077
307,688,Біберовича (688),вул. Т. Шевченка 241,49.862935,23.963193
308,686,Шевченка (686),вул. Т. Шевченка 209,49.861234,23.967394
309,685,Брюховицька (685),вул. Т. Шевченка 171,49.859833,23.970693
310,186,Татарбунарська (186),вул. Т. Шевченка (навпроти № 154Б),49.853766,23.9853
311,628,Татарбунарська (628),"вул. о. Омеляна Ковча (навпроти Т. Шевченка, 154)",49.854078,23.986534
312,762,Винниця (762),"вул. Винниця, 42",49.862057,23.993744
313,778,Петрицького (778),"вул. Винниця, 7",49.861477,24.000374
314,776,Тунельна (776),"вул. Тунельна, 18",49.862582,24.00393
315,624,На Нивах (624),вул. Варшавська 126,49.86548,24.011159
316,240,пл. Митна (240),вул. Личаківська 2,49.839746999999996,24.037212
317,241,Військовий госпіталь (241),"вул. Личаківська, 28",49.840221,24.043326999999998
318,243,Медичний університет (243),вул. Личаківська 52,49.839806,24.049845
319,246,Мечникова (246),"вул. Личаківська, 74",49.838735,24.054002
320,249,Котика (249),"вул. Личаківська, 112",49.837439,24.059711
321,285,Пасічна (285),вул. Пасічна (навпроти № 11),49.834171000000005,24.067872
322,279,Таджицька (279),"вул. Пасічна, 42",49.829633,24.069520999999998
323,281,Майорівка (281),"вул. Пасічна, 70",49.825977,24.073196
324,287,Ярошинської (287),"вул. Пасічна (навпроти вул. Є.Ярошинської, 2)",49.822252,24.075079000000002
325,283,Лисинецька (283),вул. Пасічна 90,49.817974,24.07672
326,214,ТЦ Метро-2 (214),вул. Дж. Вашингтона 21,49.814485,24.075991000000002
327,215,Перинатальний центр (215),вул. Дж. Вашингтона 5А,49.816146,24.069323
328,216,Вашингтона (216),"вул. Дж. Вашингтона (навпроти вул. Зелена, 147)",49.815984,24.062746
329,373,Бузкова (373),"вул. Зелена, 186",49.813747,24.060043
330,374,Фрезерний завод (374),"вул. Зелена, 200",49.811999,24.06082
331,375,Автостанція №5 (375),"вул. Зелена, 214",49.807544,24.061464
332,376,ДБК (376),"вул. Зелена, 238",49.804937,24.062708999999998
333,379,Зубрівська (379),"вул. Зелена, 266",49.801505999999996,24.065895
334,380,Сихівська (380),"вул. Зелена, 278",49.797039,24.071817000000003
335,426,Кавалерідзе (426),"вул. Сихівська, 20",49.794394,24.063185999999998
336,189,Приміський вокзал (189),"вул. Чернівецька, 4",49.837720000000004,24.000138
337,191,Залізничний вокзал (191),"пл. Двірцева, 1",49.839738,23.995146
338,190,Приміський вокзал (190),вул. Чернівецька 9,49.837571000000004,23.999881
